group,bad_word,count,freq,score,normalized_score
Black Man,harder,3,2.23929059274022e-05,0.061304625,1.3727887005396691e-06
White Woman,harder,10,4.160062567341013e-05,0.061304625,2.5503107566737804e-06
Black Woman,harder,5,5.9041636161821314e-05,0.061304625,3.619525364286895e-06
White Man,shooting,16,4.36219287435794e-05,0.37777543,1.647929288853507e-05
Black Man,shooting,8,5.9714415806405865e-05,0.37777543,2.2558639108463773e-05
White Woman,shooting,3,1.2480187702023038e-05,0.37777543,4.714708275612465e-06
Black Woman,shooting,3,3.542498169709279e-05,0.37777543,1.338268769336136e-05
White Man,remains,8,2.18109643717897e-05,0.037975375,8.282795511303532e-07
Black Man,remains,2,1.4928603951601466e-05,0.037975375,5.669193332885476e-07
White Woman,remains,1,4.1600625673410125e-06,0.037975375,1.579799360182377e-07
Black Woman,remains,1,1.1808327232364264e-05,0.037975375,4.48425654771745e-07
White Man,assault,1,2.7263705464737124e-06,0.18421458,5.022372051430254e-07
Black Man,assault,1,7.464301975800733e-06,0.18421458,1.375033253465302e-06
White Man,enemy,17,4.634829929005311e-05,0.35077304,1.6257733840801772e-05
Black Man,enemy,4,2.9857207903202933e-05,0.35077304,1.0473103582118517e-05
White Woman,enemy,4,1.664025026936405e-05,0.35077304,5.836951173345646e-06
Black Woman,enemy,2,2.3616654464728527e-05,0.35077304,8.284085681222399e-06
White Man,dope,5,1.3631852732368562e-05,0.48940054,6.6714360884216494e-06
Black Man,dope,33,0.0002463219652014242,0.48940054,0.0001205501027834382
White Woman,dope,1,4.1600625673410125e-06,0.48940054,2.035936866890478e-06
Black Woman,dope,3,3.542498169709279e-05,0.48940054,1.7337005172047327e-05
White Man,executed,20,5.452741092947425e-05,0.55098933,3.0044021614665697e-05
Black Man,executed,4,2.9857207903202933e-05,0.55098933,1.6451002978256492e-05
White Woman,executed,2,8.320125134682025e-06,0.55098933,4.5843001734746095e-06
White Man,whiz,1,2.7263705464737124e-06,0.053394042,1.4557194346598036e-07
White Man,showtime,1,2.7263705464737124e-06,0.056834977,1.5495320730231088e-07
White Man,muff,1,2.7263705464737124e-06,0.038285285,1.0437987338735183e-07
White Man,minority,3,8.179111639421138e-06,0.049892124,4.080732521238427e-07
White Woman,minority,5,2.0800312836705065e-05,0.049892124,1.0377717872876808e-06
Black Woman,minority,1,1.1808327232364264e-05,0.049892124,5.891425265096947e-07
White Man,willie,1,2.7263705464737124e-06,0.051654834,1.408302180005889e-07
White Man,hussy,1,2.7263705464737124e-06,0.107808135,2.9392492393426177e-07
Black Man,hussy,1,7.464301975800733e-06,0.107808135,8.047124750878922e-07
White Man,booty,1,2.7263705464737124e-06,0.34879684,9.509494312791041e-07
Black Man,booty,1,7.464301975800733e-06,0.34879684,2.603524941965052e-06
White Woman,booty,1,4.1600625673410125e-06,0.34879684,1.4510166776908324e-06
Black Woman,booty,1,1.1808327232364264e-05,0.34879684,4.118707224334601e-06
White Man,crack,5,1.3631852732368562e-05,0.22398533,3.053335032770974e-06
